Rol;dvRol;Rut;Dv;Nombre;Calle;Numero;Aclara;Pat_cTIPOPATTE;InicioActividad;CasaMatriz;Giro;Provisoria;IngProvisoria;Vencimiento;EstadoLic;CODIGO SII;ACTIVIDAD SII;Monto_Patente;EstadoPago
861539;K;76403297;7;RENUEVA TU CASA LTDA.;AHUMADA;11;OFICINA;COMERCIAL;04-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE CONSTRUCCIONES MENORES Y REMODELACIONES DE CASAS Y DEPARTAMENTOS;DEFINITIVA;12-09-2014;12-09-2015;VIGENTE;454000;OBRAS MENORES EN CONSTRUCCIÓN (CONTRATISTAS, ALBANILES, CARPINTEROS);22293;GIRADO
860739;7;76403445;7;SB MARINE SPA;AVENIDA PORTUGAL;1224;DEPTO;COMERCIAL;04-08-2014;CASA MATRIZ ;COMERCIO AL POR MENOR DE ARTICULOS DEPORTIVOS;DEFINITIVA;13-08-2014;13-08-2015;VIGENTE;523943;COMERCIO AL POR MENOR DE ARTÍCULOS DEPORTIVOS;22293;GIRADO
862053;9;76403454;6;CM PRO EDUCA SPA;AVENIDA PRESIDENTE BULNES;79;OFICINA;COMERCIAL;30-07-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE EMPRESA DE CAPACITACION (OTEC);DEFINITIVA;09-10-2014;09-10-2015;VIGENTE;671929;EMPRESAS DE ASESORÍA, CONSULTORÍA FINANCIERA Y DE APOYO AL GIRO;22293;GIRADO
862051;2;76403455;4;CM PRO CONSULTORES SPA;AVENIDA PRESIDENTE BULNES;79;OFICINA;COMERCIAL;30-07-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE SERVICIOS DE ASESORIAS A EMPRESAS EN GESTION, EXTERNALIZACION Y DMINISTRACION;DEFINITIVA;09-10-2014;09-10-2015;VIGENTE;742141;SERVICIOS DE INGENIERÍA PRESTADOS POR EMPRESAS N.C.P.;22293;GIRADO
863434;3;76403466;K;SRVICIOS TURISTICOS GIONATA NENCINI EIRL;MERCED;838;OFICINA;COMERCIAL;28-07-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE AGENCIA Y ORGANIZADORES DE VIAJES, ACTIVIDAD DE ASISTENCIA A TURISTA;DEFINITIVA;15-12-2014;15-12-2015;VIGENTE;630400;AGENCIAS Y ORGANIZADORES DE VIAJES;22293;PAGADO
863047;K;76403767;7;INNOVA CEA CAPACITACIONES LIMITADA;AHUMADA;370;OFICINA;COMERCIAL;19-11-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE SERVICIO DE CAPACITACIÓN;DEFINITIVA;26-11-2014;26-11-2015;VIGENTE;741400;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN;69046;GIRADO
861201;3;76404061;9;STRELL E.I.R.L;TUCAPEL JIMENEZ;123;LOCAL;COMERCIAL;04-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE COMERCIALIZACION DE PRODUCTOS DE ESTETICA;DEFINITIVA;28-08-2014;28-08-2015;VIGENTE;523140;VENTA AL POR MENOR DE ARTÍCULOS DE TOCADOR Y COSMÉTICOS;22293;GIRADO
866739;K;76404226;3;SOCIEDAD GASTRONÓMICA INCOVE LTDA.;ARTURO PRAT;953;LOCAL;COMERCIAL;04-02-2015;CASA MATRIZ ;ELABORACIÓN DE PLATOS PREPARADOS FRIOS Y CALIENTES;PROVISORIA;22-05-2015;21-05-2016;VIGENTE;552020;ESTABLECIMIENTOS DE COMIDA RÁPIDA (BARES, FUENTES DE SODA, GELATERÍAS, PIZZERÍAS Y SIMILARES);69046;PAGADO
873619;7;76404303;0;SOCIEDAD IMPORTADORA Y COMERCIALIZADORA CUMBRES S.A.;CARMEN;1038;LOCAL;COMERCIAL;05-02-2015;CASA MATRIZ ;IMPORTACION COMERCIALIZACION DE IMPLEMENTOS DE SEGURIDAD Y BLOQUEO;PROVISORIA;25-01-2016;24-01-2017;VIGENTE;515009;VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.C.P.;51250;PAGADO
853287;7;76404307;3;ROMAN Y VERGARA COMPAÑIA LTDA;LIRA;855;LOCAL;COMERCIAL;23-12-2014;SUCURSAL EN LA COMUNA ;VENTA Y PRE ENTREGA ACCESORIOS DE MOTOS;DEFINITIVA;27-06-2013;27-06-2014;VIGENTE;504020;VENTA DE PIEZAS Y ACCESORIOS DE MOTOCICLETAS;69046;PAGADO
866699;7;76404428;2;INMOBILIARIA E INVERSIONES LOS BUHOS LIMITADA;HUERFANOS;1117;OFICINA;COMERCIAL;10-02-2015;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE ARRIENDO DE INMUEBLES;DEFINITIVA;20-05-2015;19-05-2016;VIGENTE;701001;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;22293;PAGADO
864794;1;76404456;8;MUNDO DEL CONGELADO EVELYN VILLAGRAN EIRL;SAN FRANCISCO;2151;LOCAL;COMERCIAL;10-02-2015;CASA MATRIZ ;EXPENDIO DE ALIMENTOS CONGELADOS ENVASADOS DE FABRICAS AUTORIZADAS;DEFINITIVA;18-02-2015;18-02-2016;VIGENTE;522040;VENTA AL POR MENOR DE PESCADOS, MARISCOS Y PRODUCTOS CONEXOS;69046;GIRADO
868395;6;76404467;3;CRECOM LTDA;MERCED;717;OFICINA;COMERCIAL;10-02-2015;CASA MATRIZ ;OFICINA ADMINISTRATIVA;DEFINITIVA;30-07-2015;29-07-2016;VIGENTE;742141;SERVICIOS DE INGENIERÍA PRESTADOS POR EMPRESAS N.C.P.;77503;PAGADO
865508;1;76404508;4;DISTRIBUIDORA SAN SEBASTIAN LMITADA;ALAMEDA L. BERNARDO OHIGGINS;2887;LOCAL;COMERCIAL;23-03-2015;CASA MATRIZ ;EXPENDIO DE PRODUCTOS LACTEOS DE FCAS. AUTORIZADAS, ABARROTES, BEBIDAS, CONFITES ENVASADAS DE FCAS. AUTORIZADAS.;DEFINITIVA;23-03-2015;22-03-2016;VIGENTE;512250;VENTA AL POR MAYOR DE CONFITES;22293;PAGADO
867684;4;76404549;1;COMERCIALIZADORA COPIHUE DENTI LIMITADA;MONJITAS;527;OFICINA;COMERCIAL;31-07-2014;CASA MATRIZ ;OFICINA IMPORT VTA MAQUINARIA E INSUMOS DENTALES;DEFINITIVA;01-07-2015;30-06-2016;VIGENTE;515009;VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.C.P.;72378;PAGADO
869735;3;76404613;7;PROYECTOS EN TELECOMUNICACIONES SDTGLOBAL LTDA.;NATANIEL COX;31;OFICINA;COMERCIAL;13-02-2015;CASA MATRIZ ;OFICINA ADMINISTRATIVA;DEFINITIVA;22-09-2015;21-09-2016;VIGENTE;642090;OTROS SERVICIOS DE TELECOMUNICACIONES N.C.P.;69046;PAGADO
860581;5;76404692;7;INCOJAR E.I.R.L.;HUERFANOS;1160;OFICINA;COMERCIAL;31-07-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE COMERCIALIZACION DE ARTICULOS TECNOLOGICOS E INSUMOS DIVERSOS DE OFICINAS;DEFINITIVA;06-08-2014;06-08-2015;VIGENTE;523924;COMERCIO DE ARTÍCULOS DE SUMINISTROS DE OFICINAS Y ARTÍCULOS DE ESCRITORIO EN GENERAL;22293;GIRADO
862744;4;76404866;0;VARGAS Y ABARCA LIMITADA;SAN DIEGO;2080;LOCAL;COMERCIAL;01-08-2014;CASA MATRIZ ;VENTA DE PRENDAS DE VESTIR, CALZADO Y ACCESORIOS;DEFINITIVA;13-11-2014;13-11-2015;VIGENTE;513100;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;69046;GIRADO
862198;5;76404892;K;AGRICOLA MG SPA;NUEVA YORK;53;OFICINA;COMERCIAL;21-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE VENTA DE PLANTAS, FLORES Y SEMILLAS;DEFINITIVA;17-10-2014;17-10-2015;VIGENTE;521900;VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIALIZADOS;22293;GIRADO
860665;K;76405202;1;ADENTUS SPA;DIAGONAL PARAGUAY;481;OFICINA;COMERCIAL;04-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIA DE ARRIENDO DE INMUEBLES, SERVICIOS DE ASESORIAS LEGALES CONTABLES;DEFINITIVA;11-08-2014;11-08-2015;VIGENTE;741400;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN;22293;GIRADO
860677;3;76405233;1;OCV IMPORTACIONES LIMITADA;MONJITAS;843;LOCAL;COMERCIAL;05-08-2014;CASA MATRIZ ;IMPORTACIÓN, EXPORTACIÓN DE ARTS. DE TELEFONIA CELULAR;DEFINITIVA;11-08-2014;11-08-2015;VIGENTE;521900;VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIALIZADOS;173401;GIRADO
867030;7;76405244;7;COSMERY ESTILISTAS LTDA.;CATEDRAL;1043;LOCAL;COMERCIAL;14-05-2015;CASA MATRIZ ;PELUQUERIA SOLO CORTE DE PELO SIN PROCEDIMIENTO;PROVISORIA;03-06-2015;02-06-2016;VIGENTE;930200;PELUQUERÍAS Y SALONES DE BELLEZA;69046;GIRADO
862526;3;76405326;5;CONFECCIONES JUAN MIGUEL FAMILIA SUERO E.I.R.L;PLACER;980;LOCAL;COMERCIAL;05-09-2014;CASA MATRIZ ;SERVICIOS DE REPARACION DE PRENDAS DE VESTIR;DEFINITIVA;04-11-2014;04-11-2015;VIGENTE;749921;DISENADORES DE VESTUARIO;69046;GIRADO
864292;3;76405334;6;INVERSIONES ARAYA & ASOCIADOS LIMITADA;AHUMADA;11;OFICINA;COMERCIAL;20-08-2014;CASA MATRIZ ;DOMICLIO POSTAL TRIBUTARIO DE INVERSIONES, CORRETAJE DE PROPIEDADES Y SERVICIO OUTSORCING;DEFINITIVA;29-01-2015;29-01-2016;VIGENTE;659920;SOCIEDADES DE INVERSIÓN Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERAL;22293;PAGADO
860536;K;76405420;2;CONSTRUCTORA ABIERTA SOCIEDAD LIMITADA;SAN ANTONIO;378;OFICINA;COMERCIAL;28-11-2005;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE OBRAS MENORES EN CONSTRUCCION;DEFINITIVA;05-08-2014;05-08-2015;VIGENTE;454000;OBRAS MENORES EN CONSTRUCCIÓN (CONTRATISTAS, ALBANILES, CARPINTEROS);22293;PAGADO
869688;8;76405457;1;D Y H  INGENIERIA LIMITADA;AGUSTINAS;1022;OFICINA;COMERCIAL;07-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE SERVICIOS DE OBRAS MENORES EN CONSTRUCCION Y TELECOMUNICACIONES;DEFINITIVA;17-09-2015;16-09-2016;VIGENTE;454000;OBRAS MENORES EN CONSTRUCCIÓN (CONTRATISTAS, ALBANILES, CARPINTEROS);22293;GIRADO
860625;0;76405479;2;HIGH-RES LTDA;SAN ANTONIO;378;OFICINA;COMERCIAL;05-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE COMERCIALIZACION, FABRICACION, IMPORTACION Y EXPORTACION DE ELEMENTOS ESPECIALES, METALES;DEFINITIVA;08-08-2014;08-08-2015;VIGENTE;273200;FUNDICIÓN DE METALES NO FERROSOS;22293;GIRADO
862008;3;76405543;8;VISITE RAPA NUI LIMITADA;AHUMADA;312;OFICINA;COMERCIAL;18-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE OF. ADM. AGENCIA DE VIAJES Y TURISMO, PUBLICIDAD, HOSPEDAJE TEMPORAL;DEFINITIVA;08-10-2014;08-10-2015;VIGENTE;551090;OTROS TIPOS DE HOSPEDAJE TEMPORAL COMO CAMPING, ALBERGUES, POSADAS, REFUGIOS Y SIMILARES;69046;GIRADO
861908;5;76405608;6;OPTICA   J Y M  LIMITADA;HUERFANOS;1160;OFICINA;COMERCIAL;11-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA VENTA DE PRODUCTOS OPTICOS;DEFINITIVA;02-10-2014;02-10-2015;VIGENTE;523912;COMERCIO AL POR MENOR DE ARTÍCULOS ÓPTICOS;22293;GIRADO
860668;4;76405627;2;CONSUD SPA;DIAGONAL PARAGUAY;481;OFICINA;COMERCIAL;08-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIODE SERVICIOS DE CONSTRUCCION Y ASESORAMIENTO EN MATERIA DE CONSTRUCCION;DEFINITIVA;11-08-2014;11-08-2015;VIGENTE;741400;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN;22293;GIRADO
870529;1;76405682;5;COMERC DE ARTESANIA CLAUDIA V ANESSA A ANDRADE J EIRL;MAIPU;349;LOCAL;COMERCIAL;06-10-2015;CASA MATRIZ ;VENTA DE ARTESANIA;PROVISORIA;15-10-2015;14-10-2016;VIGENTE;523991;COMERCIO AL POR MENOR DE ARTÍCULOS TÍPICOS (ARTESANÍAS);22293;PAGADO
864023;8;76405696;5;INVERSIONES JONANU SPA;SAN DIEGO;1477;LOCAL;COMERCIAL;04-09-2014;CASA MATRIZ ;CARNICERIA CON EXPENDIO DE AVES FAENADAS DE MATADEROS AUTORIZADOS, EXPENDIO DE CECINAS, PRODUCTOS LACTEOS DE FABRICAS AUTORIZADAS, ABARROTES, ALIMENTOS CONGELADOS ENVASADOS DE FABRICAS AUTORIZADAS, HUEVOS;DEFINITIVA;15-01-2015;15-01-2016;VIGENTE;522020;VENTA AL POR MENOR DE CARNES (ROJAS, BLANCAS, OTRAS) PRODUCTOS CÁRNICOS Y SIMILARES;69046;PAGADO
858310;2;76405886;0;PINK-STAR  SPA;MONJITAS;879;LOCAL;COMERCIAL;04-02-2015;CASA MATRIZ ;COMPRA Y VENTA DE ARTICULOS DE JOYERIA, BISOUTERIA Y FANTASIAS;DEFINITIVA;04-04-2014;04-04-2015;VIGENTE;523950;COMERCIO AL POR MENOR DE ARTÍCULOS DE JOYERÍA, FANTASÍAS Y RELOJERÍAS;69046;PAGADO
864821;2;76405906;9;ECOFAMILY  E.I.R.L.;HUERFANOS;1055;OFICINA;COMERCIAL;17-02-2015;CASA MATRIZ ;COMERCIALIZADORA DE PRODUCTOS ECOLOGICOS;DEFINITIVA;19-02-2015;19-02-2016;VIGENTE;525990;OTROS TIPOS DE VENTA AL POR MENOR NO REALIZADA EN ALMACENES N.C.P.;22293;PAGADO
869766;3;76405948;4;COMERC E INVER FRANCISCA LORETO RAHAL GALAZ SPA;VICTORIA;680;OFICINA;COMERCIAL;30-04-2015;SUCURSAL EN OTRA COMUNA ;EXPENDIO DE ABARAROTES ENVASADOS DE FABRICAS AUTORIZADAS, FERRETERIA;DEFINITIVA;23-09-2015;22-09-2016;VIGENTE;512290;VENTA AL POR MAYOR DE HUEVOS, LECHE, ABARROTES, Y OTROS ALIMENTOS N.C.P.;98003;PAGADO
865819;6;76405989;1;MEDIA DIGITAL GROUP SPA;HUERFANOS;117;OFICINA;COMERCIAL;20-02-2015;CASA MATRIZ ;DESARROLLO Y GESTION DE CONTENIDOS DIGITALES;DEFINITIVA;09-04-2015;08-04-2016;VIGENTE;726000;EMPRESAS DE SERVICIOS INTEGRALES DE INFORMÁTICA;22293;PAGADO
865078;0;76406063;6;IMK INTELIGENCIA EN MARKETING SPA;HUERFANOS;1160;OFICINA;COMERCIAL;20-02-2015;CASA MATRIZ ;OFICINA DE SERVICIOS DE MARKETING Y PUBLICIDAD;DEFINITIVA;04-03-2015;03-03-2016;VIGENTE;726000;EMPRESAS DE SERVICIOS INTEGRALES DE INFORMÁTICA;22293;GIRADO
872786;4;76406078;4;BEONEPLUS CONSULTING SPA;HUERFANOS;1055;OFICINA;COMERCIAL;20-02-2015;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE COMERCIO DE COMPUTADORES;PROVISORIA;29-12-2015;28-12-2016;VIGENTE;523930;COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS;22293;BLOQUEADO
870192;K;76406197;7;SIE LEGAL EIRL;SAN ANTONIO;378;OFICINA;COMERCIAL;13-08-2014;CASA MATRIZ ;OFICINA ADMINSTRATIVA DE PROCESAMIENTO DE DATOS Y ACTIVIDADES REALCIONADAS CON BASE DE DATOS, SERVICIOS INTEGRALES DE INFORMATICA;DEFINITIVA;06-10-2015;05-10-2016;VIGENTE;724000;PROCESAMIENTO DE DATOS Y ACTIVIDADES RELACIONADAS CON BASES DE DATOS;22293;PAGADO
868619;K;76406608;1;VIENA Y TREJO LIMITADA;MARCOLETA;573;LOCAL;COMERCIAL;03-08-2015;SUCURSAL EN LA COMUNA ;SALON DE BELLEZA Y PELUQUERIA (SIN PROCEDIMIENTO DE MAQUINARIA);PROVISORIA;07-08-2015;07-08-2016;VIGENTE;930200;PELUQUERÍAS Y SALONES DE BELLEZA;69046;GIRADO
870401;5;76406636;7;DISEÑO Y PRODUCCION SOMNIA LIMITADA;MERCED;838;LOCAL;COMERCIAL;25-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DISEÑO, GESTION ASESORIAS DE PRODUCCION E INSTALACION;DEFINITIVA;09-10-2015;08-10-2016;VIGENTE;749922;DISENADORES DE INTERIORES;22293;PAGADO
870011;7;76406884;K;LUIS ENRIQUE JOFRE REYES EMPRESAS DE SERVICIOS INTEGRALES DE INFORMATICA E.I.R.L.;SAN ANTONIO;385;OFICINA;COMERCIAL;11-10-2014;CASA MATRIZ ;ASESORIAS Y DESARROLLO DE SOFTWARE, EMPRESA DE SERVICIOS INTEGRALES DE INFORMATICA;DEFINITIVA;30-09-2015;29-09-2016;VIGENTE;726000;EMPRESAS DE SERVICIOS INTEGRALES DE INFORMÁTICA;69046;GIRADO
871483;5;76407019;4;EPOWER INGENIERIA LIMITADA;SAN ANTONIO;385;OFICINA;COMERCIAL;18-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE MANTENCION DE EQUIPOS DE RESPALDO DE ENERGIA;PROVISORIA;17-11-2015;16-11-2016;VIGENTE;515007;VENTA AL POR MAYOR DE MÁQUINAS Y EQUIPOS DE OFICINA, INCLUYE MATERIALES CONEXOS;25625;PAGADO
868180;5;76407063;1;BARRIA&CASTRO LIMITADA;SIERRA BELLA;1435;LOCAL;COMERCIAL;13-08-2014;CASA MATRIZ ;OFICINA DE DISEÑO Y PUBLICIDAD;DEFINITIVA;23-07-2015;22-07-2016;VIGENTE;743001;EMPRESAS DE PUBLICIDAD;69046;GIRADO
861838;0;76407093;3;SERV. PUBLICITARIOS J. A. MADUEÑO AVELLO EIRL;HUERFANOS;1160;OFICINA;COMERCIAL;12-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE SERVICIOS GRAFICOS Y PUBLICITARIOS;DEFINITIVA;30-09-2014;30-09-2015;VIGENTE;222200;ACTIVIDADES DE SERVICIO RELACIONADA CON LA IMPRESIÓN;22293;PAGADO
860812;1;76407096;8;REMACAFI SPA;SAN DIEGO;516;DEPTO;COMERCIAL;12-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE VENTA DE REPUESTOS, INSUMOS, MAQUINAS Y SERVICO TECNICO DE MAQUINAS DE CAFE;DEFINITIVA;18-08-2014;18-08-2015;VIGENTE;291980;REPARACIÓN OTROS TIPOS DE MAQUINARIA Y EQUIPOS DE USO GENERAL;22293;PAGADO
871825;3;76407136;0;COATI EIRL;MONJITAS;290;DEPTO;COMERCIAL;14-11-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE DISEÑO DE CASA RODANTES;PROVISORIA;27-11-2015;26-11-2016;VIGENTE;369990;FABRICACIÓN DE ARTÍCULOS DE OTRAS INDUSTRIAS N.C.P.;22293;PAGADO
860869;5;76407156;5;INVERSIONES OYARCE RIOS LTDA.;COMPAÑIA;1429;DEPTO;COMERCIAL;13-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE ARRIENDO DE DEPARTAMENTOS AMOBLADOS;DEFINITIVA;19-08-2014;19-08-2015;VIGENTE;701001;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;26189;GIRADO
864114;5;76407343;6;INVERSIONES E INMOBILIARIA R & C LIMITADA;INTENDENTE COUSIÑO;9;DEPTO;COMERCIAL;29-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE INVERSIONES E INMOBILIARIA;DEFINITIVA;21-01-2015;21-01-2016;VIGENTE;701001;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;22293;GIRADO
864966;9;76407353;3;AHORRAMAS SPA;RAFAEL SOTOMAYOR;785;DEPTO;COMERCIAL;30-10-2014;CASA MATRIZ ;COMERCIALIZADORA DE ARTICULOS DE PERFUMERIA, COSMETICOS Y ASEO;DEFINITIVA;26-02-2015;26-02-2016;VIGENTE;513930;VENTA AL POR MAYOR DE ARTÍCULOS DE PERFUMERÍA, COSMÉTICOS, JABONES Y PRODUCTOS DE LIMPIEZA;69046;GIRADO
867184;2;76407447;5;ALBORNOZ DEL VALLE Y LECAROS ASESORIAS LTDA;AGUSTINAS;1442;DEPTO;COMERCIAL;24-02-2015;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE COBRANZA;PROVISORIA;10-06-2015;09-06-2016;VIGENTE;749911;SERVICIOS DE COBRANZA DE CUENTAS;72378;PAGADO
872200;5;76407448;3;IMPORTADORA Y COMERCIALIZADORA ROSSANA A. GANDOLFI ECCLEFIELD EI.R.L;HUERFANOS;1055;OFICINA;COMERCIAL;24-02-2015;CASA MATRIZ ;OFICINA DE COMERCIALIZADORA VIA INTERNET DE ARTICULOS DE CASA Y OFICINA;PROVISORIA;15-12-2015;14-12-2016;VIGENTE;523290;COMERCIO AL POR MENOR DE TEXTILES PARA EL HOGAR Y OTROS PRODUCTOS TEXTILES N.C.P.;22293;PAGADO
873642;1;76407487;4;ASESORIAS E INVERSIONES SANTA FILOMENA SPA;HUERFANOS;1052;OFICINA;COMERCIAL;25-02-2015;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE ASESORAMIENTO EMPRESARIAL Y GESTION;PROVISORIA;26-01-2016;25-01-2017;VIGENTE;741400;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN;22293;PAGADO
869535;0;76407534;K;LABORATORIO DE INTEGRACION AUDIOVISUAL SPA;NATANIEL COX;1699;LOCAL;COMERCIAL;26-02-2015;CASA MATRIZ ;OFICINA DE INTEGRCION EN DESARROLLO DE PROYECTOS AUDIOVISUALES;DEFINITIVA;10-09-2015;09-09-2016;VIGENTE;741400;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN;22293;GIRADO
