id;EDAD;NIVEL EDUCACIONAL;ACTIVIDAD;RENTA FIJA;LIMITE MAXIMO CREDITO;DEUDA ACTUAL;PORCENTAJE DE USO DEL CREDITO;NUMERO DE COMPRAS EN MES ACTUAL (T);NUMERO DE COMPRAS EN MES T-1;NUMERO DE COMPRAS EN MES T-2;NUMERO DE COMPRAS EN MES T-3;ESTADO ACTUAL;CANTIDAD HISTORICA DE ATRASOS EN PAGO DE CUENTAS;COMPRA
41;25;EDUC. TECNICA;ESTUDIANTE;596970;301500;0;0.0;5;7;0;8;SIN DEUDA;8;NO
42;45;EDUC. UNIVERSITARIA;DEPENDIENTE;1360133;2752580;2752580;100.0;2;0;2;8;SIN DEUDA;20;NO
43;40;EDUC. UNIVERSITARIA;DEPENDIENTE;2179845;301500;0;0.0;1;5;3;1;SIN DEUDA;22;NO
44;45;EDUC. UNIVERSITARIA;DEPENDIENTE;416070;301500;257318;85.3;8;0;1;10;SIN DEUDA;11;NO
45;59;EDUC. TECNICA;DEPENDIENTE;3229065;2682795;2682795;100.0;9;7;0;2;SIN DEUDA;1;SI
46;27;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;904500;301500;212527;70.5;4;8;0;8;SIN DEUDA;9;SI
47;31;ESTUDIANTE UNIVERSITARIO;ESTUDIANTE;904500;301500;0;0.0;4;4;6;2;SIN DEUDA;20;NO
48;26;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;2009900;301500;0;0.0;9;5;7;5;SIN DEUDA;4;NO
49;23;EDUC. UNIVERSITARIA;ESTUDIANTE;904500;301500;0;0.0;4;6;10;3;DEUDA DE 2 MESES;1;NO
50;49;EDUC. UNIVERSITARIA;DEPENDIENTE;994950;301500;40546;13.4;4;1;6;1;SIN DEUDA;1;SI
51;39;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;138805;46.0;9;8;5;2;DEUDA DE 2 MESES;6;NO
52;37;EDUC. UNIVERSITARIA;DEPENDIENTE;1357754;408062;408062;100.0;1;9;5;3;SIN DEUDA;5;SI
53;55;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;416070;301500;0;0.0;9;6;8;4;SIN DEUDA;3;SI
54;24;EDUC. TECNICA;ESTUDIANTE;904500;301500;120160;39.9;10;10;8;8;SIN DEUDA;1;NO
55;47;EDUC. TECNICA;DEPENDIENTE;2532600;301500;0;0.0;7;2;1;10;SIN DEUDA;4;NO
56;28;EDUC. TECNICA;DEPENDIENTE;904500;301500;86808;28.8;10;6;4;0;SIN DEUDA;11;NO
57;44;EDUC. UNIVERSITARIA;DEPENDIENTE;2715508;301500;0;0.0;4;4;10;6;DEUDA DE 2 MESES;22;NO
58;30;EDUC. UNIVERSITARIA;DEPENDIENTE;2713500;301500;0;0.0;5;5;0;0;SIN DEUDA;2;NO
59;38;EDUC. UNIVERSITARIA;DEPENDIENTE;798484;301500;0;0.0;7;6;6;3;SIN DEUDA;5;SI
60;37;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;68736;22.8;7;0;2;2;SIN DEUDA;20;NO
61;47;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;1130625;301500;0;0.0;9;6;5;7;SIN DEUDA;21;NO
62;46;EDUC. TECNICA;DEPENDIENTE;917217;2409534;2409534;100.0;10;7;8;5;DEUDA DE 1 MES;3;SI
63;79;EDUC. UNIVERSITARIA;DEPENDIENTE;1854225;301500;0;0.0;3;2;7;4;SIN DEUDA;23;NO
64;52;EDUC. TECNICA;DEPENDIENTE;1175850;1200294;1200294;100.0;4;6;6;5;SIN DEUDA;4;SI
65;34;EDUC. TECNICA;DEPENDIENTE;1809000;301500;150804;50.0;10;9;2;9;DEUDA DE 2 MESES;16;NO
66;37;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;2713500;301500;0;0.0;7;2;6;9;DEUDA DE 2 MESES;3;SI
67;27;EDUC. UNIVERSITARIA;ESTUDIANTE;596970;398487;398487;100.0;8;7;7;10;SIN DEUDA;19;SI
68;32;EDUC. UNIVERSITARIA;DEPENDIENTE;1599002;301500;184741;61.3;6;0;6;0;SIN DEUDA;1;SI
69;75;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;750735;301500;0;0.0;10;10;8;10;SIN DEUDA;13;SI
70;27;EDUC. UNIVERSITARIA;ESTUDIANTE;596970;301500;0;0.0;2;7;3;4;SIN DEUDA;18;NO
71;42;EDUC. UNIVERSITARIA;DEPENDIENTE;1311525;301500;301500;100.0;8;1;8;8;DEUDA DE 2 MESES;19;NO
72;26;EDUC. UNIVERSITARIA;DEPENDIENTE;1628100;301500;0;0.0;5;6;5;0;SIN DEUDA;16;NO
73;71;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;1447200;301500;0;0.0;7;0;2;3;SIN DEUDA;9;NO
74;51;EDUC. TECNICA;DEPENDIENTE;1022085;301500;11433;3.8;4;6;9;0;DEUDA DE 2 MESES;16;SI
75;47;EDUC. UNIVERSITARIA;DEPENDIENTE;4522500;301500;0;0.0;5;5;5;2;DEUDA DE 1 MES;8;SI
76;31;EDUC. UNIVERSITARIA;DEPENDIENTE;1809000;1264141;1264141;100.0;9;10;2;10;SIN DEUDA;24;NO
77;60;EDUC. UNIVERSITARIA;DEPENDIENTE;416070;301500;102854;34.1;0;1;0;7;SIN DEUDA;8;SI
78;52;EDUC. TECNICA;DEPENDIENTE;524610;301500;0;0.0;9;3;6;2;SIN DEUDA;20;NO
79;44;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;0;0.0;2;1;6;0;DEUDA DE 1 MES;10;NO
80;40;EDUC. TECNICA;DEPENDIENTE;1085400;301500;0;0.0;3;6;0;4;SIN DEUDA;10;SI
81;75;EDUC. UNIVERSITARIA;DEPENDIENTE;416070;301500;0;0.0;8;5;8;9;SIN DEUDA;16;NO
82;30;EDUC. UNIVERSITARIA;DEPENDIENTE;1447200;301500;27238;9.0;3;9;8;7;SIN DEUDA;23;SI
83;72;EDUC. TECNICA;DEPENDIENTE;1049220;2194160;2194160;100.0;10;10;2;2;DEUDA DE 1 MES;2;NO
84;45;EDUC. UNIVERSITARIA;DEPENDIENTE;3543587;301500;0;0.0;0;10;2;1;SIN DEUDA;6;NO
85;54;EDUC. UNIVERSITARIA;DEPENDIENTE;1253963;301500;37193;12.3;7;2;10;6;SIN DEUDA;6;SI
86;47;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;68609;22.8;3;0;8;10;DEUDA DE 1 MES;3;NO
87;69;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;0;0.0;10;3;0;4;SIN DEUDA;10;SI
88;44;EDUC. TECNICA;DEPENDIENTE;524610;301500;0;0.0;6;10;4;3;SIN DEUDA;23;NO
89;45;EDUC. UNIVERSITARIA;DEPENDIENTE;416070;301500;0;0.0;3;8;9;5;DEUDA DE 1 MES;22;SI
90;73;EDUC. UNIVERSITARIA;DEPENDIENTE;524610;301500;0;0.0;7;0;4;8;SIN DEUDA;25;SI
91;27;EDUC. UNIVERSITARIA;DEPENDIENTE;3021238;301500;0;0.0;7;2;8;0;SIN DEUDA;11;SI
92;75;EDUC. UNIVERSITARIA;DEPENDIENTE;606015;301500;0;0.0;4;0;4;7;SIN DEUDA;12;SI
93;27;EDUC. UNIVERSITARIA;DEPENDIENTE;1230120;1409332;1409332;100.0;3;9;7;4;SIN DEUDA;18;SI
94;46;EDUC. TECNICA;DEPENDIENTE;904500;301500;167477;55.5;2;7;3;7;SIN DEUDA;2;NO
95;39;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;301500;100.0;10;7;0;5;DEUDA DE 1 MES;10;NO
96;58;EDUC. UNIVERSITARIA;DEPENDIENTE;606015;301500;0;0.0;9;8;1;8;SIN DEUDA;5;SI
97;59;EDUC. UNIVERSITARIA;DEPENDIENTE;1175850;368626;368626;100.0;6;7;7;6;SIN DEUDA;4;NO
98;56;EDUC. MEDIA;EMPRESARIO;904500;301500;0;0.0;5;0;2;7;DEUDA DE 2 MESES;13;NO
99;39;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;1356750;301500;0;0.0;1;2;5;4;DEUDA DE 1 MES;3;NO
100;23;EDUC. TECNICA;ESTUDIANTE;904500;548248;548248;100.0;0;1;2;5;DEUDA DE 1 MES;3;SI
101;69;EDUC. TECNICA;DEPENDIENTE;416070;301500;30150;10.0;8;8;10;5;SIN DEUDA;20;NO
102;41;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;0;0.0;6;2;7;0;SIN DEUDA;4;NO
103;36;EDUC. TECNICA;DEPENDIENTE;1357754;301500;225323;74.7;6;9;8;0;DEUDA DE 1 MES;18;NO
104;25;EDUC. UNIVERSITARIA;DEPENDIENTE;2261250;2101889;2101889;100.0;3;4;6;8;SIN DEUDA;12;NO
105;33;EDUC. TECNICA;DEPENDIENTE;2621639;301500;0;0.0;6;7;8;10;SIN DEUDA;12;NO
106;47;EDUC. UNIVERSITARIA;DEPENDIENTE;1356750;301500;0;0.0;1;5;6;1;SIN DEUDA;13;SI
107;43;EDUC. UNIVERSITARIA;DEPENDIENTE;1646669;301500;0;0.0;2;8;4;3;SIN DEUDA;23;SI
108;66;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;1049220;301500;0;0.0;6;4;3;9;DEUDA DE 1 MES;19;SI
109;24;EDUC. TECNICA;ESTUDIANTE;596970;301500;12;0.0;1;7;9;1;SIN DEUDA;22;SI
110;26;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;629001;629001;100.0;6;1;6;3;SIN DEUDA;0;NO
111;60;EDUC. UNIVERSITARIA;DEPENDIENTE;1356750;301500;301500;100.0;10;0;10;3;DEUDA DE 2 MESES;1;SI
112;30;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;1718550;301500;0;0.0;5;6;8;6;SIN DEUDA;3;NO
113;23;EDUC. TECNICA;ESTUDIANTE;904500;301500;0;0.0;4;1;4;8;SIN DEUDA;22;SI
114;29;EDUC. UNIVERSITARIA;DEPENDIENTE;2595915;301500;0;0.0;4;2;7;0;SIN DEUDA;12;SI
115;71;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;0;0.0;5;3;4;4;DEUDA DE 1 MES;8;SI
116;47;EDUC. UNIVERSITARIA;DEPENDIENTE;906508;301500;0;0.0;3;9;9;8;DEUDA DE 2 MESES;15;SI
117;35;EDUC. UNIVERSITARIA;DEPENDIENTE;2098440;301500;2044;0.7;5;4;3;5;SIN DEUDA;21;SI
118;48;EDUC. TECNICA;DEPENDIENTE;905504;301500;0;0.0;8;0;5;3;SIN DEUDA;20;NO
119;54;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;904500;301500;0;0.0;6;7;5;10;SIN DEUDA;19;NO
120;68;EDUC. TECNICA;DEPENDIENTE;1049220;301500;0;0.0;7;4;6;9;SIN DEUDA;7;SI
121;31;EDUC. UNIVERSITARIA;DEPENDIENTE;1214201;301500;0;0.0;7;4;0;6;SIN DEUDA;14;NO
122;60;EDUC. UNIVERSITARIA;DEPENDIENTE;1582875;301500;0;0.0;6;10;6;2;SIN DEUDA;5;NO
123;38;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;606015;301500;398;0.1;1;7;5;8;SIN DEUDA;25;NO
124;82;EDUC. MEDIA;EMPRESARIO;408897;1337569;1337569;100.0;10;5;2;6;SIN DEUDA;5;SI
125;30;EDUC. TECNICA;DEPENDIENTE;949725;301500;0;0.0;1;6;0;5;SIN DEUDA;11;NO
126;56;EDUC. UNIVERSITARIA;DEPENDIENTE;2351700;1056233;1056233;100.0;0;10;5;3;SIN DEUDA;5;SI
127;37;EDUC. UNIVERSITARIA;DEPENDIENTE;1082795;301500;0;0.0;1;5;10;9;SIN DEUDA;10;NO
128;44;EDUC. UNIVERSITARIA;DEPENDIENTE;2261250;301500;79258;26.3;6;8;2;9;SIN DEUDA;21;SI
129;68;EDUC. TECNICA;EMPRESARIO;904500;1290571;1290571;100.0;6;5;6;6;SIN DEUDA;21;SI
130;34;EDUC. UNIVERSITARIA;EMPRESARIO;1628100;301500;0;0.0;4;7;2;7;SIN DEUDA;5;SI
131;48;EDUC. UNIVERSITARIA;DEPENDIENTE;1130625;301500;0;0.0;9;9;9;6;SIN DEUDA;25;SI
132;66;EDUC. TECNICA;DEPENDIENTE;524610;301500;0;0.0;7;8;10;2;SIN DEUDA;14;NO
133;55;EDUC. UNIVERSITARIA;DEPENDIENTE;1582875;301500;247;0.1;5;0;8;10;SIN DEUDA;12;SI
134;65;EDUC. UNIVERSITARIA;DEPENDIENTE;416070;301500;0;0.0;0;5;10;9;SIN DEUDA;1;NO
135;53;EDUC. UNIVERSITARIA;EMPRESARIO;904500;558239;558239;100.0;2;9;0;0;DEUDA DE 1 MES;2;NO
136;22;EDUC. TECNICA;DEPENDIENTE;906508;301500;0;0.0;9;3;3;10;SIN DEUDA;10;NO
137;72;EDUC. UNIVERSITARIA;DEPENDIENTE;1790910;301500;0;0.0;6;1;9;9;SIN DEUDA;23;SI
138;32;ESTUDIANTE UNIVERSITARIO;EMPRESARIO;723600;301500;0;0.0;7;4;3;2;SIN DEUDA;10;SI
139;26;ESTUDIANTE UNIVERSITARIO;ESTUDIANTE;904500;301500;25935;8.6;0;5;4;10;SIN DEUDA;23;SI
140;27;EDUC. UNIVERSITARIA;ESTUDIANTE;904500;301500;60384;20.0;7;9;9;4;SIN DEUDA;12;NO
141;47;EDUC. UNIVERSITARIA;DEPENDIENTE;606015;301500;0;0.0;0;2;9;4;SIN DEUDA;14;SI
142;59;EDUC. UNIVERSITARIA;DEPENDIENTE;2261250;301500;0;0.0;3;3;7;4;SIN DEUDA;23;NO
143;29;EDUC. UNIVERSITARIA;DEPENDIENTE;2261250;301500;77160;25.6;5;3;2;7;DEUDA DE 1 MES;19;SI
144;42;EDUC. UNIVERSITARIA;DEPENDIENTE;1284390;301500;0;0.0;5;5;1;5;SIN DEUDA;3;NO
145;37;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;115414;38.3;10;8;1;4;SIN DEUDA;3;SI
146;61;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;0;0.0;3;10;10;10;SIN DEUDA;7;NO
147;64;EDUC. TECNICA;DEPENDIENTE;1356750;2715231;2715231;100.0;8;6;10;0;SIN DEUDA;1;NO
148;54;EDUC. TECNICA;DEPENDIENTE;2031064;301500;0;0.0;2;3;3;6;SIN DEUDA;5;NO
149;50;EDUC. TECNICA;EMPRESARIO;3210975;301500;0;0.0;0;6;5;6;SIN DEUDA;17;NO
150;34;EDUC. UNIVERSITARIA;DEPENDIENTE;624105;301500;0;0.0;10;9;6;4;DEUDA DE 2 MESES;7;NO
151;63;EDUC. TECNICA;DEPENDIENTE;1049220;301500;0;0.0;10;4;4;4;SIN DEUDA;0;NO
152;57;EDUC. UNIVERSITARIA;DEPENDIENTE;1537650;301500;20490;6.8;9;10;10;4;SIN DEUDA;0;NO
153;44;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;2491885;2491885;100.0;3;1;1;7;SIN DEUDA;8;NO
154;49;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;35619;11.8;6;10;1;7;SIN DEUDA;12;SI
155;53;EDUC. TECNICA;DEPENDIENTE;904500;418410;418410;100.0;6;2;3;2;SIN DEUDA;17;NO
156;33;EDUC. UNIVERSITARIA;DEPENDIENTE;2623050;1115297;1115297;100.0;8;8;0;4;DEUDA DE 1 MES;12;SI
157;33;EDUC. TECNICA;DEPENDIENTE;904500;301500;0;0.0;5;5;3;6;SIN DEUDA;19;SI
158;48;EDUC. UNIVERSITARIA;EMPRESARIO;8141504;301500;0;0.0;0;7;3;4;SIN DEUDA;10;NO
159;49;EDUC. TECNICA;DEPENDIENTE;904500;301500;220003;72.9;0;3;7;7;SIN DEUDA;3;SI
160;45;EDUC. UNIVERSITARIA;DEPENDIENTE;6726803;301500;110777;36.7;9;8;7;5;SIN DEUDA;14;SI
161;33;EDUC. UNIVERSITARIA;DEPENDIENTE;906508;301500;0;0.0;1;10;1;1;SIN DEUDA;22;SI
162;48;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;3076304;301500;0;0.0;9;10;8;2;DEUDA DE 1 MES;1;SI
163;27;EDUC. TECNICA;ESTUDIANTE;904500;301500;96685;32.1;9;8;7;6;SIN DEUDA;12;NO
164;57;EDUC. UNIVERSITARIA;EMPRESARIO;904500;301500;166253;55.1;10;9;2;6;SIN DEUDA;19;NO
165;60;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;750735;301500;235007;77.9;2;7;2;2;SIN DEUDA;10;NO
166;28;EDUC. TECNICA;ESTUDIANTE;596970;301500;0;0.0;3;4;8;3;SIN DEUDA;25;SI
167;47;EDUC. TECNICA;DEPENDIENTE;1049220;1219640;1219640;100.0;6;4;4;4;SIN DEUDA;3;SI
168;45;EDUC. UNIVERSITARIA;DEPENDIENTE;1447200;301500;133384;44.2;0;4;9;0;DEUDA DE 2 MESES;11;SI
169;33;EDUC. TECNICA;DEPENDIENTE;904500;301500;0;0.0;1;6;2;8;SIN DEUDA;11;NO
170;28;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;2142154;301500;36;0.0;6;9;3;2;SIN DEUDA;20;NO
171;27;EDUC. UNIVERSITARIA;ESTUDIANTE;904500;301500;0;0.0;6;1;2;6;SIN DEUDA;9;NO
172;37;EDUC. UNIVERSITARIA;DEPENDIENTE;2984850;301500;1302;0.4;6;5;5;10;SIN DEUDA;12;NO
173;48;EDUC. TECNICA;DEPENDIENTE;2020067;1707600;1707600;100.0;7;9;8;0;SIN DEUDA;13;SI
174;41;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;0;0.0;8;1;2;2;SIN DEUDA;24;SI
175;31;EDUC. UNIVERSITARIA;DEPENDIENTE;1709505;301500;0;0.0;2;2;5;0;DEUDA DE 2 MESES;22;NO
176;34;EDUC. TECNICA;DEPENDIENTE;904500;301500;0;0.0;9;7;4;3;SIN DEUDA;10;SI
177;51;EDUC. TECNICA;DEPENDIENTE;416070;301500;0;0.0;10;1;7;6;SIN DEUDA;11;SI
178;64;EDUC. UNIVERSITARIA;DEPENDIENTE;2722545;301500;0;0.0;3;3;4;6;DEUDA DE 2 MESES;9;NO
179;30;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;0;0.0;4;6;6;4;SIN DEUDA;11;NO
180;69;EDUC. UNIVERSITARIA;DEPENDIENTE;2496420;301500;64636;21.4;1;2;2;5;SIN DEUDA;19;NO
181;37;EDUC. TECNICA;DEPENDIENTE;2407978;301500;0;0.0;4;8;4;1;SIN DEUDA;13;NO
182;40;EDUC. TECNICA;DEPENDIENTE;1827090;472270;472270;100.0;2;2;5;6;SIN DEUDA;20;SI
183;47;EDUC. TECNICA;DEPENDIENTE;1655235;301500;129766;43.0;1;6;3;7;SIN DEUDA;11;SI
184;35;EDUC. TECNICA;DEPENDIENTE;904500;301500;0;0.0;7;5;8;0;SIN DEUDA;9;NO
185;57;EDUC. UNIVERSITARIA;DEPENDIENTE;5429008;301500;0;0.0;10;0;5;5;SIN DEUDA;6;NO
186;30;EDUC. UNIVERSITARIA;DEPENDIENTE;1692708;301500;0;0.0;6;7;6;7;SIN DEUDA;17;NO
187;47;EDUC. TECNICA;ESTUDIANTE;3099839;301500;0;0.0;5;7;2;4;SIN DEUDA;12;SI
188;29;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;0;0.0;3;6;3;4;SIN DEUDA;11;NO
189;33;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;2912490;301500;95364;31.6;4;3;9;10;DEUDA DE 2 MESES;25;NO
190;26;EDUC. UNIVERSITARIA;ESTUDIANTE;904500;301500;0;0.0;6;4;8;8;SIN DEUDA;19;NO
191;22;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;363609;363609;100.0;9;10;4;4;SIN DEUDA;20;NO
192;84;EDUC. TECNICA;DEPENDIENTE;416070;301500;114558;38.0;7;6;2;1;DEUDA DE 1 MES;4;NO
193;39;EDUC. TECNICA;DEPENDIENTE;524610;364405;364405;100.0;5;10;5;7;DEUDA DE 2 MESES;15;SI
194;25;EDUC. TECNICA;DEPENDIENTE;1085400;301500;301500;100.0;7;4;5;10;DEUDA DE 1 MES;14;NO
195;58;EDUC. UNIVERSITARIA;DEPENDIENTE;2577825;301500;50043;16.6;10;7;10;4;SIN DEUDA;7;SI
196;47;EDUC. UNIVERSITARIA;DEPENDIENTE;1374840;502607;502607;100.0;1;4;9;8;DEUDA DE 1 MES;13;SI
197;58;EDUC. UNIVERSITARIA;DEPENDIENTE;2252205;301500;47969;15.9;7;0;5;9;SIN DEUDA;24;NO
198;34;EDUC. TECNICA;DEPENDIENTE;1809000;301500;2388;0.8;3;10;4;8;SIN DEUDA;8;NO
199;33;EDUC. TECNICA;EMPRESARIO;1050224;301500;1833;0.6;6;9;6;1;SIN DEUDA;9;SI
200;25;EDUC. UNIVERSITARIA;DEPENDIENTE;542700;301500;0;0.0;7;7;1;7;SIN DEUDA;3;SI
201;57;EDUC. UNIVERSITARIA;DEPENDIENTE;5943596;617177;617177;100.0;8;9;7;4;SIN DEUDA;19;SI
202;37;EDUC. UNIVERSITARIA;DEPENDIENTE;3165750;301500;45870;15.2;0;6;8;10;SIN DEUDA;19;NO
203;52;EDUC. UNIVERSITARIA;DEPENDIENTE;1085400;301500;326;0.1;0;9;7;5;SIN DEUDA;1;SI
204;43;EDUC. TECNICA;DEPENDIENTE;1809000;301500;0;0.0;6;1;6;7;DEUDA DE 1 MES;8;NO
205;51;EDUC. UNIVERSITARIA;DEPENDIENTE;416070;301500;0;0.0;2;3;5;8;DEUDA DE 1 MES;21;SI
206;27;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;260755;86.5;10;0;3;8;SIN DEUDA;18;SI
207;52;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;0;0.0;0;2;5;3;SIN DEUDA;7;NO
208;31;EDUC. UNIVERSITARIA;DEPENDIENTE;1356750;301500;0;0.0;10;3;3;3;DEUDA DE 1 MES;19;SI
